date,depth,mag,place,latitude,longitude,depth_avg_22,depth_avg_15,depth_avg_7,mag_avg_22,mag_avg_15,mag_avg_7,mag_outcome
2020-08-11,10.0,4.8,Philippines,7.50714193548387,125.354825806452,121.076363636364,153.499333333333,127.221428571429,4.75454545454546,4.89333333333334,5.05714285714286,
2020-08-02,10.0,4.3,Tonga,-17.3859434782609,-174.5379,117.841818181818,100.37,151.86,4.64545454545454,4.64,4.7,
2020-08-03,90.47,5.2,Tonga,-17.3859434782609,-174.5379,121.499545454545,104.069333333333,163.355714285714,4.67727272727273,4.66,4.62857142857143,
2020-08-11,24.4,3.1,Alaska,58.5423175889872,-154.320064074922,42.5818181818181,45.7200000000001,17.8142857142855,1.84545454545455,1.87333333333334,1.84285714285714,
2020-08-11,0.0,2.0,Alaska,58.5423175889872,-154.320064074922,41.240909090909,37.7200000000001,15.6857142857141,1.86363636363637,1.85333333333334,1.94285714285714,
2020-08-11,0.0,1.9,Alaska,58.5423175889872,-154.320064074922,38.5181818181818,33.9533333333334,14.2571428571427,1.88636363636364,1.89333333333334,1.78571428571428,
2020-08-11,5.5,1.7,Alaska,58.5423175889872,-154.320064074922,38.7681818181818,25.3200000000001,12.3142857142855,1.88636363636364,1.87333333333334,1.87142857142857,
2020-08-11,0.0,0.8,Alaska,58.5423175889872,-154.320064074922,38.5090909090908,24.7800000000001,7.72857142857125,1.86818181818182,1.85333333333334,1.87142857142857,
2020-08-11,3.2,2.2,Alaska,58.5423175889872,-154.320064074922,37.0727272727272,20.5200000000001,6.04285714285697,1.86363636363637,1.9,1.85714285714285,
2020-08-11,30.8,1.3,Alaska,58.5423175889872,-154.320064074922,38.4727272727272,22.4133333333334,9.12857142857125,1.79090909090909,1.78,1.85714285714285,
2020-08-03,17.35,2.61,Tennessee,36.1093642,-88.1055123481481,10.15,10.5433333333333,10.7485714285714,1.52363636363636,1.658,2.01,
2020-08-03,9.7,1.32,Tennessee,36.1093642,-88.1055123481481,10.115,10.566,10.9042857142857,1.52318181818182,1.65933333333333,1.88857142857143,
2020-08-04,6.96,1.9,Tennessee,36.1093642,-88.1055123481481,10.1095454545455,10.4,11.6342857142857,1.54954545454545,1.698,1.88142857142857,
2020-08-06,7.72,1.51,Tennessee,36.1093642,-88.1055123481481,10.0354545454545,10.448,10.49,1.56636363636364,1.70866666666667,1.74857142857143,
2020-08-06,9.28,1.38,Tennessee,36.1093642,-88.1055123481481,10.0263636363636,10.3386666666667,10.46,1.57181818181818,1.66733333333333,1.77285714285714,
2020-08-08,7.56,1.1,Tennessee,36.1093642,-88.1055123481481,9.89818181818182,10.3646666666667,10.8785714285714,1.56909090909091,1.66066666666667,1.75,
2020-08-08,10.34,0.57,Utah,39.6919636817121,-111.759634242801,5.18090909090909,5.12933333333333,6.64714285714286,1.12954545454545,1.15866666666667,1.28142857142857,
2020-08-08,8.73,0.23,Utah,39.6919636817121,-111.759634242801,5.56,5.624,7.88142857142858,1.08636363636364,1.15333333333333,1.16571428571428,
2020-08-08,10.01,1.12,Utah,39.6919636817121,-111.759634242801,5.93727272727273,6.30066666666667,9.59714285714286,1.09272727272727,1.14266666666667,0.902857142857142,
2020-08-09,8.38,0.22,Utah,39.6919636817121,-111.759634242801,5.64272727272727,6.80933333333333,9.07571428571429,1.05,1.086,0.802857142857142,
2020-08-09,-3.48,1.12,Utah,39.6919636817121,-111.759634242801,5.13090909090909,6.12,7.93285714285715,1.06318181818182,1.02066666666667,0.907142857142856,
2020-08-10,16.98,1.01,Utah,39.6919636817121,-111.759634242801,5.50045454545454,7.042,8.93428571428572,1.06045454545454,0.995333333333333,1.01857142857143,
2020-08-10,7.21,0.94,Utah,39.6919636817121,-111.759634242801,5.82545454545454,6.84,8.31,1.07909090909091,1.01733333333333,0.744285714285713,
